plays,last_watched_at,last_updated_at,reset_at,show_title,show_year,show_ids_trakt,show_ids_slug,show_ids_tvdb,show_ids_imdb,show_ids_tmdb,show_ids_tvrage,None_seasons_number,None_seasons_seasons_episodes_number,None_seasons_seasons_episodes_plays,None_seasons_seasons_episodes_last_watched_at
32,2022-12-30T23:32:17.000Z,2022-12-30T23:32:22.000Z,,The Walking Dead,2010,1393,the-walking-dead,153021,tt1520211,1402,25056.0,3,13,1,2022-12-30T23:32:17.000Z
48,2022-12-06T21:16:03.000Z,2022-12-19T22:06:37.000Z,,Elite,2018,129932,elite,346328,tt7134908,76669,,6,8,1,2022-12-06T21:16:03.000Z
10,2022-12-01T21:47:55.000Z,2022-12-19T22:07:26.000Z,,House of the Dragon,2022,154574,house-of-the-dragon,371572,tt11198330,94997,0.0,1,10,1,2022-12-01T21:47:55.000Z
62,2022-11-21T23:21:37.000Z,2022-11-21T23:21:38.000Z,,The Expanse,2015,77199,the-expanse,280619,tt3230854,63639,41967.0,6,6,1,2022-11-21T23:21:37.000Z
195,2022-11-08T08:29:15.000Z,2022-11-08T08:29:15.000Z,,The Office,2005,2302,the-office,73244,tt0386676,2316,6061.0,9,23,1,2022-11-08T08:29:15.000Z
5,2022-09-28T14:00:17.000Z,2022-09-28T14:00:17.000Z,,The Boys Presents: Diabolical,2022,191618,the-boys-presents-diabolical,413188,tt16350094,152483,,1,5,1,2022-09-28T14:00:17.000Z
24,2022-09-22T21:51:18.000Z,2022-09-22T21:51:18.000Z,,The Boys,2019,139960,the-boys-2019,355567,tt1190634,76479,,3,8,1,2022-09-22T21:51:18.000Z
25,2022-09-05T14:04:18.000Z,2022-09-05T14:04:19.000Z,,The Cuphead Show!,2022,150166,the-cuphead-show,366607,tt10611608,103786,,2,13,1,2022-09-05T14:04:18.000Z
8,2022-08-28T22:33:40.000Z,2022-08-28T22:33:40.000Z,,Peacemaker,2022,169009,peacemaker-2022,391153,tt13146488,110492,,1,8,1,2022-08-28T22:33:40.000Z
63,2022-08-21T22:05:49.000Z,2022-08-21T22:05:49.000Z,,Better Call Saul,2015,59660,better-call-saul,273181,tt3032476,60059,37780.0,6,13,1,2022-08-21T22:05:49.000Z
36,2022-08-16T22:17:29.000Z,2022-08-16T22:17:30.000Z,,Westworld,2016,99718,westworld,296762,tt0475784,63247,37537.0,4,8,1,2022-08-16T22:17:29.000Z
36,2022-08-08T22:17:16.000Z,2022-08-09T22:39:04.000Z,,Peaky Blinders,2013,60158,peaky-blinders,270915,tt2442560,60574,37240.0,6,6,1,2022-08-08T22:17:16.000Z
34,2022-08-02T23:18:50.000Z,2022-08-02T23:18:49.000Z,,Stranger Things,2016,104439,stranger-things,305288,tt4574334,66732,48493.0,4,9,1,2022-08-02T23:18:50.000Z
68,2022-07-25T15:33:13.000Z,2022-07-25T15:33:15.000Z,,Family Guy,1999,1425,family-guy,75978,tt0182576,1434,3506.0,4,18,1,2022-07-25T15:33:13.000Z
6,2022-07-24T21:29:02.000Z,2022-07-24T21:29:02.000Z,,Ms. Marvel,2022,151853,ms-marvel,368612,tt10857164,92782,,1,6,1,2022-07-24T21:29:02.000Z
39,2022-07-18T23:07:13.000Z,2022-07-18T23:07:12.000Z,,Hannibal,2013,39825,hannibal,259063,tt2243973,40008,30909.0,3,13,1,2022-07-18T23:07:13.000Z
40,2022-06-17T22:17:28.000Z,2022-06-17T22:17:27.000Z,,Disenchantment,2018,126558,disenchantment,340234,tt5363918,73021,,2,20,1,2022-06-17T22:17:28.000Z
51,2022-06-15T07:51:09.000Z,2022-06-15T07:51:08.000Z,,Rick and Morty,2013,69829,rick-and-morty,275274,tt2861424,60625,33381.0,5,10,1,2022-06-15T07:51:09.000Z
18,2022-06-03T22:18:00.000Z,2022-08-10T11:53:17.000Z,,Euphoria,2019,144629,euphoria-2019,360261,tt8772296,85552,,2,8,1,2022-06-03T22:18:00.000Z
44,2022-05-15T22:41:39.000Z,2022-05-15T22:41:44.000Z,,Ozark,2017,119913,ozark,329089,tt5071412,69740,,4,14,1,2022-05-15T22:41:39.000Z
6,2022-05-09T21:09:10.000Z,2022-05-09T21:09:09.000Z,,Moon Knight,2022,151840,moon-knight,368611,tt10234724,92749,,1,6,1,2022-05-09T21:09:10.000Z
73,2022-04-21T21:54:20.000Z,2022-04-25T22:58:09.000Z,,Game of Thrones,2011,1390,game-of-thrones,121361,tt0944947,1399,24493.0,8,6,1,2022-04-21T21:54:20.000Z
41,2022-01-29T23:20:00.000Z,2022-01-29T23:20:00.000Z,,Money Heist,2017,118572,money-heist,327417,tt6468322,71446,,3,10,1,2022-01-29T23:20:00.000Z
3,2022-01-20T23:57:39.000Z,2022-01-20T23:57:41.000Z,,Elite Short Stories: Patrick,2021,191973,elite-short-stories-patrick,413727,tt16306836,137571,,1,3,1,2022-01-20T23:57:39.000Z
3,2022-01-20T23:57:31.000Z,2022-01-20T23:57:36.000Z,,Elite Short Stories: Samuel Omar,2021,191936,elite-short-stories-samuel-omar,413692,tt16259804,137570,,1,3,1,2022-01-20T23:57:31.000Z
3,2022-01-20T22:46:58.000Z,2022-01-20T22:47:00.000Z,,Elite Short Stories: Phillipe Caye Felipe,2021,191833,elite-short-stories-phillipe-caye-felipe,413726,tt16156744,137569,,1,3,1,2022-01-20T22:46:58.000Z
9,2022-01-19T23:37:19.000Z,2022-01-19T23:37:28.000Z,,What If...?,2021,146522,what-if-2021,367147,tt10168312,91363,,1,9,1,2022-01-19T23:37:19.000Z
9,2022-01-13T23:03:42.000Z,2022-01-13T23:03:42.000Z,,Arcane,2021,154164,arcane,371028,tt11126994,94605,,1,9,1,2022-01-13T23:03:42.000Z
6,2022-01-03T22:55:45.000Z,2022-01-03T22:55:42.000Z,,Hawkeye,2021,146415,hawkeye-2021,367146,tt10160804,88329,,1,6,1,2022-01-03T22:55:45.000Z
45,2021-12-28T22:03:07.000Z,2021-12-28T22:03:07.000Z,,Mr. Robot,2015,93720,mr-robot,289590,tt4158110,62560,42422.0,4,13,1,2021-12-28T22:03:07.000Z
30,2021-10-27T22:40:55.000Z,2021-10-27T22:40:56.000Z,,You,2018,124764,you,336924,tt7335184,78191,,3,10,1,2021-10-27T22:40:55.000Z
24,2021-09-25T21:53:11.000Z,2021-09-25T21:53:12.000Z,,Sex Education,2019,140590,sex-education,356317,tt7767422,81356,,3,8,1,2021-09-25T21:53:11.000Z
15,2021-09-20T22:00:00.000Z,2022-09-28T18:26:17.000Z,,Most Dangerous Game,2020,157613,most-dangerous-game,376117,tt10580064,90795,,1,15,1,2021-09-20T22:00:00.000Z
18,2021-08-29T22:25:07.000Z,2021-08-29T22:25:07.000Z,,How to Sell Drugs Online (Fast),2019,145328,how-to-sell-drugs-online-fast,361034,tt9184994,88236,,3,6,1,2021-08-29T22:25:07.000Z
6,2021-08-26T22:02:36.000Z,2021-08-26T22:02:36.000Z,,Loki,2021,146535,loki,362472,tt9140554,84958,,1,6,1,2021-08-26T22:02:36.000Z
6,2021-08-22T22:03:15.000Z,2021-08-22T22:03:32.000Z,,The Falcon and the Winter Soldier,2021,146573,the-falcon-and-the-winter-soldier,362496,tt9208876,88396,0.0,1,6,1,2021-08-22T22:03:15.000Z
9,2021-08-16T21:12:07.000Z,2021-08-16T21:12:20.000Z,,WandaVision,2021,146518,wandavision,362392,tt9140560,85271,,1,9,1,2021-08-16T21:12:07.000Z
73,2021-08-11T21:57:52.000Z,2021-08-11T21:57:52.000Z,,House of Cards,2013,1416,house-of-cards,262980,tt1856010,1425,27822.0,6,8,1,2021-08-11T21:57:52.000Z
3,2021-06-17T20:35:38.000Z,2021-06-17T20:35:37.000Z,,Elite Short Stories: Carla Samuel,2021,182248,elite-short-stories-carla-samuel,413724,tt14675560,126525,,1,3,1,2021-06-17T20:35:38.000Z
3,2021-06-17T19:27:03.000Z,2021-06-17T19:27:03.000Z,,Elite Short Stories: Omar Ander Alexis,2021,182169,elite-short-stories-omar-ander-alexis,413723,tt14676004,126528,,1,3,1,2021-06-17T19:27:03.000Z
3,2021-06-16T20:39:58.000Z,2021-06-16T20:39:57.000Z,,Elite Short Stories: Nadia Guzmán,2021,182165,elite-short-stories-nadia-guzman,413721,tt14671790,126526,,1,3,1,2021-06-16T20:39:58.000Z
3,2021-06-16T19:57:10.000Z,2021-06-16T19:57:09.000Z,,Elite Short Stories: Guzmán Caye Rebe,2021,182075,elite-short-stories-guzman-caye-rebe,413720,tt14668192,126531,,1,3,1,2021-06-16T19:57:10.000Z
12,2021-06-07T22:54:34.000Z,2021-06-07T22:54:34.000Z,,Sherlock,2010,19792,sherlock,176941,tt1475582,19885,23433.0,4,3,1,2021-06-07T22:54:34.000Z
